30-04-15,"13:51:18,756",DEBUG,[1000000007745384],routing.{oval}-OvalNode,-,Sending,Negotiation,to,"Oval,",NID=1000000007745384
30-04-15,"13:51:20,984",DEBUG,[1000000007745385],routing.{oval}-OvalNode,-,Sending,Negotiation,to,"Oval,",NID=1000000007745385
30-04-15,"13:51:22,590",DEBUG,[1000000007745386],routing.{oval}-OvalNode,-,Sending,Negotiation,to,"Oval,",NID=1000000007745386
30-04-15,"13:51:22,763",DEBUG,[1000000007745387],routing.{oval}-OvalNode,-,Sending,Negotiation,to,"Oval,",NID=1000000007745387
30-04-15,"13:51:23,178",DEBUG,[1000000007745388],routing.{oval}-OvalNode,-,Sending,Negotiation,to,"Oval,",NID=1000000007745388
30-04-15,"13:51:22,872",DEBUG,[1000000007745389],routing.{oval}-OvalNode,-,Sending,Negotiation,to,"Oval,",NID=1000000007745389
30-04-15,"13:51:23,347",DEBUG,[1000000007745390],routing.{oval}-OvalNode,-,Sending,Negotiation,to,"Oval,",NID=1000000007745390
30-04-15,"13:51:23,179",DEBUG,[1000000007745391],routing.{oval}-OvalNode,-,Sending,Negotiation,to,"Oval,",NID=1000000007745391
30-04-15,"13:51:24,724",DEBUG,[1000000007745392],routing.{oval}-OvalNode,-,Sending,Negotiation,to,"Oval,",NID=1000000007745392
30-04-15,"13:51:25,210",DEBUG,[1000000007745393],routing.{oval}-OvalNode,-,Sending,Negotiation,to,"Oval,",NID=1000000007745393
30-04-15,"13:51:25,604",DEBUG,[1000000007745394],routing.{oval}-OvalNode,-,Sending,Negotiation,to,"Oval,",NID=1000000007745394
30-04-15,"13:51:25,675",DEBUG,[1000000007745395],routing.{oval}-OvalNode,-,Sending,Negotiation,to,"Oval,",NID=1000000007745395
30-04-15,"13:51:26,895",DEBUG,[1000000007745396],routing.{oval}-OvalNode,-,Sending,Negotiation,to,"Oval,",NID=1000000007745396
30-04-15,"13:51:27,545",DEBUG,[1000000007745397],routing.{oval}-OvalNode,-,Sending,Negotiation,to,"Oval,",NID=1000000007745397
30-04-15,"13:51:27,585",DEBUG,[1000000007745398],routing.{oval}-OvalNode,-,Sending,Negotiation,to,"Oval,",NID=1000000007745398
30-04-15,"13:51:27,664",DEBUG,[1000000007745399],routing.{oval}-OvalNode,-,Sending,Negotiation,to,"Oval,",NID=1000000007745399
